|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
1900,1.62,3.51,1.18,1.88
2000,1.72,3.67,1.23,1.98
2100,1.82,3.85,1.3,2.07
2200,1.93,4.02,1.36,2.16
2300,2.04,4.18,1.41,2.22
2400,2.15,4.36,1.48,2.35
2500,2.27,4.55,1.53,2.44
2600,2.38,4.71,1.58,2.5
2700,2.5,4.88,1.65,2.59
2800,2.61,5.06,1.71,2.69
2900,2.73,5.22,1.79,2.7
3000,2.86,5.38,1.83,2.92
3100,2.98,5.56,1.89,3.01
3200,3.11,5.73,1.94,3.1
3300,3.24,5.89,2.0,3.14
3400,3.35,6.08,2.08,3.24
3500,3.48,6.26,2.15,3.33
3600,3.57,6.42,2.18,3.43
1800,1.55,3.33,1.13,1.76
1600,1.34,2.99,1.0,1.56
1500,1.24,2.81,0.94,1.47
1700,1.44,3.17,1.07,1.66
1400,1.13,2.67,0.89,1.39
800,0.59,1.59,0.53,0.62
1200,0.95,2.38,0.77,1.19
700,0.51,1.4,0.47,0.73
900,0.69,1.84,0.59,0.91
1000,0.76,2.03,0.65,1.01
400,0.26,0.88,0.28,0.42
1100,0.86,2.22,0.71,1.12
1300,1.08,2.58,0.84,1.29
600,0.43,1.26,0.4,0.62
3700,3.73,6.61,2.26,3.32
500,0.36,1.08,0.34,0.53
300,0.2,0.7,0.22,0.18
200,0.13,0.5,0.14,0.12
100,0.06,0.28,0.05,0.07
3800,3.87,6.76,2.3,3.2
3900,4.01,6.91,2.39,2.35
4000,4.1,7.14,2.41,2.01
4100,4.28,7.29,2.47,2.06
4200,4.37,7.47,2.53,2.09
4300,4.52,7.65,2.6,2.11
4400,4.67,7.79,2.66,2.16
4500,4.84,7.94,2.7,2.13
4600,4.94,8.13,2.77,2.18
4700,5.08,8.29,2.53,2.16
4800,5.26,8.47,2.22,2.2
4900,5.37,8.61,1.98,2.21
5000,5.51,8.82,1.72,2.23
