|V|+|E|,gabow,tarjan,tarjan_nx
1900,3.93,4.91,4.58
2000,4.13,5.18,4.87
2100,4.35,5.41,5.02
2200,4.54,5.7,5.34
2300,4.74,5.93,5.54
2400,4.92,6.21,5.82
2500,5.14,6.48,6.04
2600,5.33,6.67,6.3
2700,5.53,6.96,6.55
2800,5.74,7.22,6.82
2900,5.94,7.49,7.13
3000,6.14,7.71,7.28
3100,6.33,7.94,7.47
3200,6.51,8.18,7.8
3300,6.76,8.52,8.07
3400,6.99,8.74,8.29
3500,7.16,9.07,8.5
3600,7.34,8.53,8.33
1600,3.6,3.68,3.59
1300,2.9,3.0,2.98
1100,2.5,2.76,2.56
100,0.23,0.26,0.22
600,1.26,1.5,1.36
1000,2.28,2.32,2.28
1200,2.73,2.78,2.75
500,1.14,1.29,0.68
900,2.05,2.26,2.17
700,1.58,1.64,1.61
1500,3.37,3.68,3.32
3700,7.56,9.49,8.72
1700,3.82,4.19,2.39
200,0.42,0.29,0.26
1800,4.15,4.47,4.08
800,1.79,1.87,1.42
300,0.62,0.76,0.39
1400,3.14,3.48,2.65
400,0.84,1.0,0.53
3800,7.76,9.02,6.51
3900,7.95,9.78,5.23
4000,8.22,9.79,5.39
4100,8.37,10.24,5.46
4200,8.63,8.69,5.64
4300,8.8,6.07,5.57
4400,8.99,6.2,5.69
4500,9.2,6.39,5.59
4600,9.41,6.49,5.69
4700,9.51,6.5,5.66
4800,9.8,6.72,5.74
4900,9.96,6.63,5.72
5000,10.19,6.66,5.8
