|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
2000,5.78,16.7,2.09,3.25
1900,5.2,21.73,1.99,3.08
2200,6.61,25.34,2.26,3.56
2300,7.18,26.18,2.46,3.7
2100,5.8,34.05,2.19,3.39
1700,4.41,14.02,1.68,2.64
2500,8.4,40.56,2.74,3.87
1800,4.94,20.6,1.89,2.92
2800,10.3,41.05,3.04,4.51
2400,7.9,46.49,2.71,3.82
1400,3.31,11.5,1.43,2.24
1500,3.43,21.6,1.47,2.38
2700,9.58,52.22,3.01,4.33
1300,2.68,10.69,1.3,2.1
1100,2.18,9.08,1.07,1.73
600,0.83,3.05,0.61,0.97
800,1.26,7.82,0.81,1.3
900,1.51,10.23,0.9,1.45
1200,2.2,13.68,1.18,1.9
500,0.63,2.63,0.27,0.43
100,0.08,0.36,0.1,0.16
700,1.02,4.64,0.7,1.12
400,0.45,2.76,0.4,0.62
200,0.19,0.7,0.21,0.32
1000,1.77,13.0,1.01,1.57
3000,11.47,58.29,3.27,2.61
300,0.3,1.97,0.3,0.47
3200,12.62,62.3,3.49,5.07
1600,3.71,42.49,0.93,1.35
2900,10.96,67.21,1.81,4.66
2600,8.7,71.03,1.68,2.23
3800,18.41,61.93,4.53,6.09
3100,12.29,57.15,1.84,2.74
3400,14.69,68.1,3.98,3.39
3300,13.62,69.5,2.03,2.91
4500,24.64,51.44,2.92,3.97
4100,21.09,53.26,2.86,3.58
3500,14.99,63.02,2.23,3.06
3600,16.29,66.28,2.48,3.11
4000,20.07,62.24,2.7,3.47
3900,18.83,62.42,2.53,3.41
3700,17.09,70.13,2.4,3.19
4300,23.03,66.28,3.07,3.62
4200,21.74,75.92,2.63,3.55
4400,23.96,78.74,3.04,3.59
4800,27.4,87.6,3.05,3.96
5000,30.67,81.99,3.07,4.02
4900,28.38,84.52,3.14,3.91
4700,26.36,96.01,2.98,3.62
4600,25.76,112.12,2.61,3.51
